COUNTRY,YEAR,GDP,GCF,GOV_GDP,POB,TRADE,CPI,GROWTH,ASSETS,LIABILITIES,FI
CRI,"2,005.00","42,176,851,747.81",18.96,13.51,1.47,89.22,13.80,2.46,"7,142.56","13,449.18",0.49
CRI,"2,006.00","46,663,772,698.62",21.09,13.17,1.43,89.81,11.47,5.80,"8,743.83","15,534.49",0.52
CRI,"2,007.00","51,861,965,169.21",23.29,12.81,1.40,86.46,9.36,6.71,"10,451.89","18,702.99",0.56
CRI,"2,008.00","55,361,083,077.47",24.61,13.58,1.38,86.40,13.42,3.30,"10,390.64","21,696.19",0.58
CRI,"2,009.00","55,229,268,522.83",18.45,15.75,1.35,69.76,7.84,-2.20,"11,867.92","23,015.02",0.63
CRI,"2,010.00","58,889,066,523.56",19.83,16.62,1.29,67.51,5.66,4.01,"14,544.26","25,432.15",0.68
CRI,"2,011.00","62,759,466,862.02",20.05,16.96,1.24,68.64,4.88,3.12,"15,792.07","29,204.01",0.72
CRI,"2,012.00","67,139,321,098.59",19.85,16.79,1.20,67.05,4.50,3.63,"19,965.62","35,119.99",0.82
CRI,"2,013.00","71,159,735,248.31",19.59,17.13,1.15,64.07,5.23,1.32,"23,084.43","42,173.02",0.92
CRI,"2,014.00","77,049,117,295.31",19.22,17.01,1.09,65.19,4.52,2.41,"24,478.69","47,049.61",0.93
CRI,"2,015.00","82,852,849,095.47",18.85,16.96,1.05,60.75,0.80,2.57,"26,114.18","51,740.32",0.94
CRI,"2,016.00","93,454,856,085.20",18.89,16.71,1.02,62.18,-0.02,3.15,"27,883.58","56,406.79",0.90
CRI,"2,017.00","100,716,906,502.78",18.06,16.36,0.98,65.07,1.63,3.14,"29,445.46","60,787.53",0.90
CRI,"2,018.00","106,583,345,257.90",18.37,16.20,0.93,66.95,2.22,1.66,"31,664.25","65,991.61",0.92
CRI,"2,019.00","114,952,279,858.36",16.06,16.75,0.87,65.76,2.10,1.54,"34,222.88","70,390.31",0.91
CRI,"2,020.00","111,138,963,671.71",16.16,17.70,0.76,60.14,0.72,-4.99,"35,545.57","73,629.72",0.98
CRI,"2,021.00","116,703,599,622.55",19.56,16.50,0.60,71.89,1.73,7.14,"38,243.49","78,172.73",1.00
